V/VX,Ptherm
0.406867179,0.014805694
0.408807475,0.014600602
0.411394536,0.014398715
0.41430498,0.014196455
0.416892041,0.014002601
0.419515033,0.013800205
0.422977514,0.013572566
0.426270137,0.013339154
0.429503963,0.013122599
0.432737789,0.01291247
0.435971616,0.012705094
0.439205442,0.01250231
0.442733252,0.012292106
0.446025876,0.012085233
0.449877069,0.011873788
0.45375766,0.011655876
0.457638252,0.011447908
0.461792475,0.011238949
0.465722818,0.011035809
0.46965316,0.010836671
0.474130766,0.010626671
0.478658123,0.010417631
0.483185479,0.01021187
0.487658939,0.01003461
0.494173092,0.009754743
0.515616137,0.008956639
0.520200353,0.00878969
0.525817008,0.008602044
0.531308637,0.008403599
0.53783986,0.008210387
0.54415826,0.00801144
0.550125683,0.00782929
0.556916719,0.007628701
0.564031136,0.007434466
0.571145554,0.007245238
0.578259972,0.007062686
0.58537439,0.006888481
0.592488808,0.006719282
0.599603226,0.006560099
0.606717643,0.006405089
0.613832061,0.006257589
0.620946479,0.006118436
0.628060897,0.00598429
0.635175315,0.005855986
0.642289732,0.005730185
0.64940415,0.005607723
0.656518568,0.005491938
0.663632986,0.005378656
0.670747404,0.005267044
0.677861822,0.005161273
0.684976239,0.005055502
0.692090657,0.004961416
0.699205075,0.004864826
0.706319493,0.004773243
0.713433911,0.004683329
0.720548329,0.004596754
0.727662746,0.004513517
0.734777164,0.004432784
0.741891582,0.00435372
0.749006,0.004277994
0.756120418,0.004203103
0.763234835,0.004130715
0.770349253,0.004059162
0.777463671,0.003990947
0.784685883,0.003925358
0.819503413,0.0036
0.826617831,0.003560161
0.833732248,0.003512811
0.840846666,0.003462957
0.847961084,0.003415606
0.855075502,0.003364083
0.86218992,0.003311725
0.869304337,0.003261871
0.876418755,0.00321619
0.884136821,0.003161837
0.917164966,0.00298711
0.924279384,0.002943933
0.931393802,0.002904094
0.93850822,0.002861751
0.945622638,0.002822746
0.952737056,0.002785411
0.959851473,0.00274891
0.966965891,0.002715748
0.974080309,0.002684254
0.981194727,0.00265443
0.988309145,0.002623771
0.995423562,0.002595616
1.002430186,0.002553757
1.009652398,0.002537637
1.016766816,0.002507813
1.023881234,0.002475485
1.030995652,0.002443992
1.038110069,0.002410829
1.045224487,0.002384343
1.052338905,0.002356188
1.059453323,0.002331371
1.066567741,0.002307389
1.073682158,0.002283407
1.080796576,0.00225859
1.087910994,0.002236277
1.095025412,0.002212295
1.10213983,0.002189147
1.109254248,0.002166834
1.116368665,0.002144521
1.123483083,0.002122208
1.130597501,0.00210073
1.137711919,0.002079251
1.144826337,0.002057773
1.151940754,0.002037964
1.159055172,0.002018154
1.16616959,0.001998345
1.173284008,0.001980205
1.180398426,0.001962065
1.187662097,0.001934941
1.199441834,0.001908394
1.214428228,0.001867272
1.221791402,0.00187071
1.22890582,0.001854239
1.233109794,0.001850196
